Unnamed: 0,fermi_alpha,fermi_b,social_factor,connections_perstep,opinion_max_diff,conformity,Run,Replicates,Network Modularity,Leibovici Entropy Index,Altieri Entropy Index,connections_per_step,Modularity
49,8.09375,0.8203125,0.85546875,2,2.37109375,0.42578125,49,2.030566129,1.677267003,0.685692286,4,,
0,8.59375,8.9453125,0.60546875,1,6.30859375,0.30078125,0,0.241904498,0.252920091,0.055078282,0,,
1,4.40625,6.8359375,0.54296875,3,4.83203125,0.30078125,1,0.241904498,0.252920091,0.055078282,0,,
2,6.59375,1.4453125,0.35546875,4,8.55859375,0.11328125,2,0.241904498,0.252920091,0.055078282,0,,
3,6.40625,1.4453125,0.35546875,4,8.55859375,0.11328125,3,0.241904498,0.252920091,0.055078282,0,,
4,6.59375,9.3359375,0.35546875,4,8.55859375,0.11328125,4,0.241904498,0.252920091,0.055078282,0,,
5,6.59375,1.4453125,0.79296875,4,8.55859375,0.11328125,5,0.241904498,0.252920091,0.055078282,0,,
6,6.59375,1.4453125,0.35546875,4,8.55859375,0.11328125,6,0.241904498,0.252920091,0.055078282,0,,
7,6.59375,1.4453125,0.35546875,4,2.58203125,0.11328125,7,0.241904498,0.252920091,0.055078282,0,,
8,6.59375,1.4453125,0.35546875,4,8.55859375,0.05078125,8,0.241904498,0.252920091,0.055078282,0,,
9,6.40625,9.3359375,0.79296875,4,2.58203125,0.05078125,9,0.241904498,0.252920091,0.055078282,0,,
10,8.59375,8.9453125,0.60546875,1,6.30859375,0.30078125,10,0.340385187,0.29529058,0.056321624,1,,
11,4.40625,6.8359375,0.54296875,3,4.83203125,0.30078125,11,0.340385187,0.29529058,0.056321624,1,,
12,6.59375,1.4453125,0.35546875,4,8.55859375,0.11328125,12,0.340385187,0.29529058,0.056321624,1,,
13,6.40625,1.4453125,0.35546875,4,8.55859375,0.11328125,13,0.340385187,0.29529058,0.056321624,1,,
14,6.59375,9.3359375,0.35546875,4,8.55859375,0.11328125,14,0.340385187,0.29529058,0.056321624,1,,
15,6.59375,1.4453125,0.79296875,4,8.55859375,0.11328125,15,0.340385187,0.29529058,0.056321624,1,,
16,6.59375,1.4453125,0.35546875,4,8.55859375,0.11328125,16,0.241904498,0.252920091,0.055078282,1,,
17,6.59375,1.4453125,0.35546875,4,2.58203125,0.11328125,17,0.241904498,0.252920091,0.055078282,1,,
18,6.59375,1.4453125,0.35546875,4,8.55859375,0.05078125,18,0.241904498,0.252920091,0.055078282,1,,
19,6.40625,9.3359375,0.79296875,4,2.58203125,0.05078125,19,0.241904498,0.252920091,0.055078282,1,,
20,8.59375,8.9453125,0.60546875,1,6.30859375,0.30078125,20,0.097367817,0.073395916,0.05727753,2,,
21,4.40625,6.8359375,0.54296875,3,4.83203125,0.30078125,21,0.340385187,0.29529058,0.056321624,2,,
22,6.59375,1.4453125,0.35546875,4,8.55859375,0.11328125,22,0.241904498,0.252920091,0.055078282,2,,
23,6.40625,1.4453125,0.35546875,4,8.55859375,0.11328125,23,0.241904498,0.252920091,0.055078282,2,,
24,6.59375,9.3359375,0.35546875,4,8.55859375,0.11328125,24,0.241904498,0.252920091,0.055078282,2,,
25,6.59375,1.4453125,0.79296875,4,8.55859375,0.11328125,25,0.241904498,0.252920091,0.055078282,2,,
26,6.59375,1.4453125,0.35546875,4,8.55859375,0.11328125,26,0.241904498,0.252920091,0.055078282,2,,
27,6.59375,1.4453125,0.35546875,4,2.58203125,0.11328125,27,0.241904498,0.252920091,0.055078282,2,,
28,6.59375,1.4453125,0.35546875,4,8.55859375,0.05078125,28,0.241904498,0.252920091,0.055078282,2,,
29,6.40625,9.3359375,0.79296875,4,2.58203125,0.05078125,29,0.241904498,0.252920091,0.055078282,2,,
30,8.59375,8.9453125,0.60546875,1,6.30859375,0.30078125,30,0.159511568,0.163554464,0.05554967,3,,
31,4.40625,6.8359375,0.54296875,3,4.83203125,0.30078125,31,0.241904498,0.252920091,0.055078282,3,,
32,6.59375,1.4453125,0.35546875,4,8.55859375,0.11328125,32,0.241904498,0.252920091,0.055078282,3,,
33,6.40625,1.4453125,0.35546875,4,8.55859375,0.11328125,33,0.241904498,0.252920091,0.055078282,3,,
34,6.59375,9.3359375,0.35546875,4,8.55859375,0.11328125,34,0.241904498,0.252920091,0.055078282,3,,
35,6.59375,1.4453125,0.79296875,4,8.55859375,0.11328125,35,0.241904498,0.252920091,0.055078282,3,,
36,6.59375,1.4453125,0.35546875,4,8.55859375,0.11328125,36,0.241904498,0.252920091,0.055078282,3,,
37,6.59375,1.4453125,0.35546875,4,2.58203125,0.11328125,37,0.241904498,0.252920091,0.055078282,3,,
38,6.59375,1.4453125,0.35546875,4,8.55859375,0.05078125,38,0.241904498,0.252920091,0.055078282,3,,
39,6.40625,9.3359375,0.79296875,4,2.58203125,0.05078125,39,0.241904498,0.252920091,0.055078282,3,,
40,8.59375,8.9453125,0.60546875,1,6.30859375,0.30078125,40,0.034235753,0.043995011,0.052824046,4,,
41,4.40625,6.8359375,0.54296875,3,4.83203125,0.30078125,41,0.097367817,0.073395916,0.05727753,4,,
42,6.59375,1.4453125,0.35546875,4,8.55859375,0.11328125,42,0.241904498,0.252920091,0.055078282,4,,
43,6.40625,1.4453125,0.35546875,4,8.55859375,0.11328125,43,0.241904498,0.252920091,0.055078282,4,,
44,6.59375,9.3359375,0.35546875,4,8.55859375,0.11328125,44,0.241904498,0.252920091,0.055078282,4,,
45,6.59375,1.4453125,0.79296875,4,8.55859375,0.11328125,45,0.241904498,0.252920091,0.055078282,4,,
46,6.59375,1.4453125,0.35546875,4,8.55859375,0.11328125,46,0.241904498,0.252920091,0.055078282,4,,
47,6.59375,1.4453125,0.35546875,4,2.58203125,0.11328125,47,0.241904498,0.252920091,0.055078282,4,,
48,6.59375,1.4453125,0.35546875,4,8.55859375,0.05078125,48,0.241904498,0.252920091,0.055078282,4,,
49,6.40625,9.3359375,0.79296875,4,2.58203125,0.05078125,49,0.241904498,0.252920091,0.055078282,4,,
0,2.59375,6.4453125,0.85546875,2,4.05859375,0.61328125,0,0.281664553,0.227835913,0.027031886,0,,
1,2.40625,6.4453125,0.85546875,2,4.05859375,0.61328125,1,0.281664553,0.227835913,0.027031886,0,,
2,2.59375,4.3359375,0.85546875,2,4.05859375,0.61328125,2,0.238591384,0.129304415,0.025750317,0,,
3,2.59375,6.4453125,0.29296875,2,4.05859375,0.61328125,3,0.129614736,0.112177793,0.027109902,0,,
4,2.59375,6.4453125,0.85546875,2,4.05859375,0.61328125,4,0.134973073,0.133722668,0.028477771,0,,
5,2.59375,6.4453125,0.85546875,2,7.08203125,0.61328125,5,0.067826021,0.075519632,0.024079122,0,,
6,2.59375,6.4453125,0.85546875,2,4.05859375,0.55078125,6,0.112748008,0.096701918,0.026236504,0,,
7,2.40625,4.3359375,0.29296875,2,7.08203125,0.55078125,7,0.112748008,0.096701918,0.026236504,0,,
8,2.84375,1.7578125,0.19921875,3,7.15234375,0.33203125,8,0.159235297,0.096817023,0.05383584,0,,
9,4.65625,1.7578125,0.19921875,3,7.15234375,0.33203125,9,0.271873589,0.181247337,0.036540962,0,,
10,2.59375,6.4453125,0.85546875,2,4.05859375,0.61328125,10,0.271873589,0.181247337,0.036540962,1,,
11,2.40625,6.4453125,0.85546875,2,4.05859375,0.61328125,11,0.271873589,0.181247337,0.036540962,1,,
12,2.59375,4.3359375,0.85546875,2,4.05859375,0.61328125,12,0.271873589,0.181247337,0.036540962,1,,
13,2.59375,6.4453125,0.29296875,2,4.05859375,0.61328125,13,0.271873589,0.181247337,0.036540962,1,,
14,2.59375,6.4453125,0.85546875,2,4.05859375,0.61328125,14,0.271873589,0.181247337,0.036540962,1,,
15,2.59375,6.4453125,0.85546875,2,7.08203125,0.61328125,15,0.271873589,0.181247337,0.036540962,1,,
16,2.59375,6.4453125,0.85546875,2,4.05859375,0.55078125,16,0.271873589,0.181247337,0.036540962,1,,
17,2.40625,4.3359375,0.29296875,2,7.08203125,0.55078125,17,0.271873589,0.181247337,0.036540962,1,,
18,2.84375,1.7578125,0.19921875,3,7.15234375,0.33203125,18,0.271873589,0.181247337,0.036540962,1,,
19,4.65625,1.7578125,0.19921875,3,7.15234375,0.33203125,19,0.142307945,0.160578436,0.034681584,1,,
20,2.59375,6.4453125,0.85546875,2,4.05859375,0.61328125,20,0.142307945,0.160578436,0.034681584,2,,
21,2.40625,6.4453125,0.85546875,2,4.05859375,0.61328125,21,0.142307945,0.160578436,0.034681584,2,,
